Linje,Påstigende,date
20,1040,01/01/2022 00:00
24,839,01/01/2022 00:00
26,436,01/01/2022 00:00
28,1058,01/01/2022 00:00
33,531,01/01/2022 00:00
34,545,01/01/2022 00:00
40,726,01/01/2022 00:00
42,1341,01/01/2022 00:00
20,1177,02/01/2022 00:00
24,990,02/01/2022 00:00
26,870,02/01/2022 00:00
28,1042,02/01/2022 00:00
33,453,02/01/2022 00:00
34,619,02/01/2022 00:00
40,886,02/01/2022 00:00
42,1476,02/01/2022 00:00
20,3028,03/01/2022 00:00
21,123,03/01/2022 00:00
22,212,03/01/2022 00:00
23,158,03/01/2022 00:00
24,3465,03/01/2022 00:00
26,1757,03/01/2022 00:00
27,120,03/01/2022 00:00
28,3058,03/01/2022 00:00
29,83,03/01/2022 00:00
31,51,03/01/2022 00:00
32,85,03/01/2022 00:00
33,1998,03/01/2022 00:00
34,2289,03/01/2022 00:00
35,114,03/01/2022 00:00
36,70,03/01/2022 00:00
40,1636,03/01/2022 00:00
42,4628,03/01/2022 00:00
43,160,03/01/2022 00:00
44,60,03/01/2022 00:00
20,3850,04/01/2022 00:00
21,239,04/01/2022 00:00
22,179,04/01/2022 00:00
23,153,04/01/2022 00:00
24,3994,04/01/2022 00:00
26,1966,04/01/2022 00:00
27,112,04/01/2022 00:00
28,3290,04/01/2022 00:00
29,137,04/01/2022 00:00
31,67,04/01/2022 00:00
32,89,04/01/2022 00:00
33,2104,04/01/2022 00:00
34,2338,04/01/2022 00:00
35,137,04/01/2022 00:00
36,104,04/01/2022 00:00
40,1920,04/01/2022 00:00
42,4946,04/01/2022 00:00
43,231,04/01/2022 00:00
44,71,04/01/2022 00:00
20,3745,05/01/2022 00:00
21,173,05/01/2022 00:00
22,221,05/01/2022 00:00
23,164,05/01/2022 00:00
24,4167,05/01/2022 00:00
26,2162,05/01/2022 00:00
27,147,05/01/2022 00:00
28,3638,05/01/2022 00:00
29,128,05/01/2022 00:00
31,72,05/01/2022 00:00
32,87,05/01/2022 00:00
33,2527,05/01/2022 00:00
34,2778,05/01/2022 00:00
35,115,05/01/2022 00:00
36,106,05/01/2022 00:00
40,1977,05/01/2022 00:00
42,5112,05/01/2022 00:00
43,268,05/01/2022 00:00
44,72,05/01/2022 00:00
20,3988,06/01/2022 00:00
21,226,06/01/2022 00:00
22,230,06/01/2022 00:00
23,163,06/01/2022 00:00
24,4153,06/01/2022 00:00
26,2371,06/01/2022 00:00
27,98,06/01/2022 00:00
28,3690,06/01/2022 00:00
29,97,06/01/2022 00:00
31,79,06/01/2022 00:00
32,70,06/01/2022 00:00
33,2412,06/01/2022 00:00
34,2692,06/01/2022 00:00
35,134,06/01/2022 00:00
36,106,06/01/2022 00:00
40,1816,06/01/2022 00:00
42,5139,06/01/2022 00:00
43,227,06/01/2022 00:00
44,94,06/01/2022 00:00
20,4253,07/01/2022 00:00
21,204,07/01/2022 00:00
22,174,07/01/2022 00:00
23,125,07/01/2022 00:00
24,4441,07/01/2022 00:00
26,2184,07/01/2022 00:00
27,115,07/01/2022 00:00
28,3733,07/01/2022 00:00
29,101,07/01/2022 00:00
31,75,07/01/2022 00:00
32,71,07/01/2022 00:00
33,2608,07/01/2022 00:00
34,2856,07/01/2022 00:00
35,126,07/01/2022 00:00
36,72,07/01/2022 00:00
40,2079,07/01/2022 00:00
42,5301,07/01/2022 00:00
43,213,07/01/2022 00:00
44,64,07/01/2022 00:00
20,2669,08/01/2022 00:00
24,2091,08/01/2022 00:00
26,1656,08/01/2022 00:00
28,2939,08/01/2022 00:00
33,1563,08/01/2022 00:00
34,1362,08/01/2022 00:00
40,1411,08/01/2022 00:00
42,3344,08/01/2022 00:00
20,1497,09/01/2022 00:00
24,1179,09/01/2022 00:00
26,1130,09/01/2022 00:00
28,1143,09/01/2022 00:00
33,745,09/01/2022 00:00
34,803,09/01/2022 00:00
40,763,09/01/2022 00:00
42,1462,09/01/2022 00:00
20,4682,10/01/2022 00:00
21,222,10/01/2022 00:00
22,218,10/01/2022 00:00
23,191,10/01/2022 00:00
24,4581,10/01/2022 00:00
26,2467,10/01/2022 00:00
27,168,10/01/2022 00:00
28,3574,10/01/2022 00:00
29,91,10/01/2022 00:00
31,75,10/01/2022 00:00
32,88,10/01/2022 00:00
33,2920,10/01/2022 00:00
34,3278,10/01/2022 00:00
35,161,10/01/2022 00:00
36,145,10/01/2022 00:00
40,1969,10/01/2022 00:00
42,5469,10/01/2022 00:00
43,193,10/01/2022 00:00
44,45,10/01/2022 00:00
20,4623,11/01/2022 00:00
21,342,11/01/2022 00:00
22,228,11/01/2022 00:00
23,214,11/01/2022 00:00
24,4662,11/01/2022 00:00
26,2014,11/01/2022 00:00
27,158,11/01/2022 00:00
28,3755,11/01/2022 00:00
29,114,11/01/2022 00:00
31,65,11/01/2022 00:00
32,91,11/01/2022 00:00
33,3126,11/01/2022 00:00
34,3330,11/01/2022 00:00
35,197,11/01/2022 00:00
36,170,11/01/2022 00:00
40,2046,11/01/2022 00:00
42,5027,11/01/2022 00:00
43,274,11/01/2022 00:00
44,86,11/01/2022 00:00
20,4909,12/01/2022 00:00
21,303,12/01/2022 00:00
22,183,12/01/2022 00:00
23,165,12/01/2022 00:00
24,4464,12/01/2022 00:00
26,1946,12/01/2022 00:00
27,159,12/01/2022 00:00
28,3647,12/01/2022 00:00
29,115,12/01/2022 00:00
31,93,12/01/2022 00:00
32,122,12/01/2022 00:00
33,3035,12/01/2022 00:00
34,3392,12/01/2022 00:00
35,207,12/01/2022 00:00
36,186,12/01/2022 00:00
40,2109,12/01/2022 00:00
42,4732,12/01/2022 00:00
43,266,12/01/2022 00:00
44,65,12/01/2022 00:00
20,5008,13/01/2022 00:00
21,310,13/01/2022 00:00
22,189,13/01/2022 00:00
23,183,13/01/2022 00:00
24,4477,13/01/2022 00:00
26,2477,13/01/2022 00:00
27,173,13/01/2022 00:00
28,3568,13/01/2022 00:00
29,134,13/01/2022 00:00
31,84,13/01/2022 00:00
32,132,13/01/2022 00:00
33,3159,13/01/2022 00:00
34,3411,13/01/2022 00:00
35,208,13/01/2022 00:00
36,177,13/01/2022 00:00
40,1990,13/01/2022 00:00
42,4859,13/01/2022 00:00
43,240,13/01/2022 00:00
44,88,13/01/2022 00:00
20,5202,14/01/2022 00:00
21,269,14/01/2022 00:00
22,192,14/01/2022 00:00
23,141,14/01/2022 00:00
24,5099,14/01/2022 00:00
26,2670,14/01/2022 00:00
27,143,14/01/2022 00:00
28,3762,14/01/2022 00:00
29,120,14/01/2022 00:00
31,96,14/01/2022 00:00
32,97,14/01/2022 00:00
33,3293,14/01/2022 00:00
34,3442,14/01/2022 00:00
35,159,14/01/2022 00:00
36,151,14/01/2022 00:00
40,2314,14/01/2022 00:00
42,5835,14/01/2022 00:00
43,241,14/01/2022 00:00
44,70,14/01/2022 00:00
20,3580,15/01/2022 00:00
24,2770,15/01/2022 00:00
26,2075,15/01/2022 00:00
28,3638,15/01/2022 00:00
33,1974,15/01/2022 00:00
34,2057,15/01/2022 00:00
40,1563,15/01/2022 00:00
42,4011,15/01/2022 00:00
20,1865,16/01/2022 00:00
24,1502,16/01/2022 00:00
26,1163,16/01/2022 00:00
28,1258,16/01/2022 00:00
33,870,16/01/2022 00:00
34,952,16/01/2022 00:00
40,945,16/01/2022 00:00
42,1780,16/01/2022 00:00
20,5589,17/01/2022 00:00
21,397,17/01/2022 00:00
22,237,17/01/2022 00:00
23,214,17/01/2022 00:00
24,5229,17/01/2022 00:00
26,2562,17/01/2022 00:00
27,151,17/01/2022 00:00
28,3962,17/01/2022 00:00
29,150,17/01/2022 00:00
31,99,17/01/2022 00:00
32,136,17/01/2022 00:00
33,3396,17/01/2022 00:00
34,3850,17/01/2022 00:00
35,222,17/01/2022 00:00
36,252,17/01/2022 00:00
40,2373,17/01/2022 00:00
42,5807,17/01/2022 00:00
43,290,17/01/2022 00:00
44,83,17/01/2022 00:00
20,5624,18/01/2022 00:00
21,375,18/01/2022 00:00
22,234,18/01/2022 00:00
23,216,18/01/2022 00:00
24,4679,18/01/2022 00:00
26,2595,18/01/2022 00:00
27,205,18/01/2022 00:00
28,4062,18/01/2022 00:00
29,178,18/01/2022 00:00
31,120,18/01/2022 00:00
32,125,18/01/2022 00:00
33,3472,18/01/2022 00:00
34,3839,18/01/2022 00:00
35,187,18/01/2022 00:00
36,245,18/01/2022 00:00
40,2413,18/01/2022 00:00
42,5401,18/01/2022 00:00
43,296,18/01/2022 00:00
44,103,18/01/2022 00:00
20,5808,19/01/2022 00:00
21,397,19/01/2022 00:00
22,255,19/01/2022 00:00
23,236,19/01/2022 00:00
24,5425,19/01/2022 00:00
26,2728,19/01/2022 00:00
27,179,19/01/2022 00:00
28,4202,19/01/2022 00:00
29,123,19/01/2022 00:00
31,123,19/01/2022 00:00
32,127,19/01/2022 00:00
33,3564,19/01/2022 00:00
34,3696,19/01/2022 00:00
35,263,19/01/2022 00:00
36,219,19/01/2022 00:00
40,2337,19/01/2022 00:00
42,5553,19/01/2022 00:00
43,302,19/01/2022 00:00
44,99,19/01/2022 00:00
20,5369,20/01/2022 00:00
21,364,20/01/2022 00:00
22,254,20/01/2022 00:00
23,207,20/01/2022 00:00
24,5275,20/01/2022 00:00
26,2759,20/01/2022 00:00
27,174,20/01/2022 00:00
28,4207,20/01/2022 00:00
29,138,20/01/2022 00:00
31,94,20/01/2022 00:00
32,113,20/01/2022 00:00
33,3304,20/01/2022 00:00
34,3787,20/01/2022 00:00
35,244,20/01/2022 00:00
36,237,20/01/2022 00:00
40,2398,20/01/2022 00:00
42,5699,20/01/2022 00:00
43,271,20/01/2022 00:00
44,74,20/01/2022 00:00
20,5708,21/01/2022 00:00
21,331,21/01/2022 00:00
22,204,21/01/2022 00:00
23,152,21/01/2022 00:00
24,6011,21/01/2022 00:00
26,3388,21/01/2022 00:00
27,148,21/01/2022 00:00
28,4636,21/01/2022 00:00
29,149,21/01/2022 00:00
31,86,21/01/2022 00:00
32,87,21/01/2022 00:00
33,3536,21/01/2022 00:00
34,3927,21/01/2022 00:00
35,167,21/01/2022 00:00
36,186,21/01/2022 00:00
40,2611,21/01/2022 00:00
42,6171,21/01/2022 00:00
43,216,21/01/2022 00:00
44,60,21/01/2022 00:00
20,3237,22/01/2022 00:00
24,3100,22/01/2022 00:00
26,2134,22/01/2022 00:00
28,3926,22/01/2022 00:00
33,1648,22/01/2022 00:00
34,2279,22/01/2022 00:00
40,1776,22/01/2022 00:00
42,4202,22/01/2022 00:00
20,1664,23/01/2022 00:00
24,1439,23/01/2022 00:00
26,1064,23/01/2022 00:00
28,1097,23/01/2022 00:00
33,769,23/01/2022 00:00
34,1055,23/01/2022 00:00
40,1133,23/01/2022 00:00
42,1639,23/01/2022 00:00
20,5326,24/01/2022 00:00
21,442,24/01/2022 00:00
22,255,24/01/2022 00:00
23,220,24/01/2022 00:00
24,4880,24/01/2022 00:00
26,2666,24/01/2022 00:00
27,184,24/01/2022 00:00
28,3763,24/01/2022 00:00
29,145,24/01/2022 00:00
31,97,24/01/2022 00:00
32,153,24/01/2022 00:00
33,3393,24/01/2022 00:00
34,3814,24/01/2022 00:00
35,273,24/01/2022 00:00
36,207,24/01/2022 00:00
40,2230,24/01/2022 00:00
42,5623,24/01/2022 00:00
43,244,24/01/2022 00:00
44,88,24/01/2022 00:00
